Primary_Cuisine,Rating,votes,approx_cost(for two people),Count
African,4.592307692307692,6226,1000.0,13
Malaysian,4.425000000000001,27971,1200.0,16
Parsi,4.406666666666667,55299,1300.0,15
Middle Eastern,4.4,7181,300.0,5
Sushi,4.3999999999999995,1316,2000.0,6
Modern Indian,4.314018691588785,116323,1572.8971962616822,107
Singaporean,4.3,385,1500.0,1
German,4.3,9282,1800.0,4
European,4.261842105263158,374127,1792.5438596491229,228
Portuguese,4.2272727272727275,9811,1200.0,11
French,4.225,2994,2112.5,8
British,4.2,4452,1600.0,4
Russian,4.2,17541,1300.0,6
Mediterranean,4.196000000000001,130630,1353.0,100
Vietnamese,4.189655172413793,35881,1048.2758620689656,29
Japanese,4.1866071428571425,102840,1937.5,112
Korean,4.161290322580645,11737,1093.5483870967741,31
American,4.159410430839002,840749,1352.9478458049887,441
Spanish,4.158823529411765,9355,2323.529411764706,17
Steak,4.15625,50752,1759.375,32
Asian,4.146739130434782,340212,1329.3478260869565,368
South American,4.1,8454,1100.0,10
Konkan,4.0874999999999995,10758,889.5833333333334,24
Goan,4.037662337662337,33067,977.2727272727273,77
Thai,4.0359375,85545,1473.046875,128
Lebanese,4.018461538461538,16182,765.3846153846154,65
North Eastern,4.008571428571429,9123,742.8571428571429,35
BBQ,4.00462962962963,48827,897.6851851851852,108
Naga,4.0,1047,550.0,5
Continental,3.9749387254901962,1590451,1155.484068627451,1632
Rajasthani,3.960550458715596,75527,724.7706422018349,109
Turkish,3.935,6931,321.25,40
Italian,3.9310679611650485,439893,1072.378640776699,618
Nepalese,3.913636363636364,2494,615.9090909090909,22
Coffee,3.9,502,481.8181818181818,11
Assamese,3.891666666666666,5604,475.0,12
Finger Food,3.8837712519319942,388770,1453.7867078825348,647
Desserts,3.87501494321578,304607,395.63658099222954,1673
Cafe,3.8723727525955938,1861910,638.756647252469,3949
Seafood,3.8401785714285714,117890,773.0654761904761,336
Awadhi,3.831578947368421,1336,815.7894736842105,19
Ice Cream,3.830967741935484,197095,303.6774193548387,775
Healthy Food,3.80531914893617,116762,505.3191489361702,376
Burmese,3.8000000000000003,888,385.7142857142857,14
Australian,3.8,185,400.0,5
Salad,3.7941176470588234,31523,713.4453781512605,119
Bihari,3.7750000000000004,1010,318.75,24
Mangalorean,3.767713004484305,39790,678.6995515695068,223
Mexican,3.7635869565217392,69680,606.3586956521739,184
Burger,3.7604534005037786,114875,479.34508816120905,397
Momos,3.75,635,250.0,12
Maharashtrian,3.7430555555555554,12498,441.6666666666667,72
Pizza,3.740619621342513,468300,613.3390705679863,581
Chettinad,3.737,80762,753.0,100
Iranian,3.725,422,800.0,4
Tibetan,3.7143749999999995,33799,380.9375,160
Beverages,3.6897872340425533,57314,279.9468085106383,940
Chinese,3.6507137192704207,703012,648.731165741475,2522
Tamil,3.65,268,266.6666666666667,6
Sandwich,3.642622950819672,2030,254.91803278688525,61
Arabian,3.6389140271493217,140221,538.5746606334842,442
Bengali,3.6286135693215336,91747,503.6873156342183,339
Bakery,3.625224602626123,159373,393.22736696613686,1447
Mithai,3.62202486678508,46527,260.2131438721137,563
Tea,3.6194174757281554,7690,237.37864077669903,103
Street Food,3.606837606837607,101591,230.55555555555554,702
Oriya,3.6016949152542375,11041,394.06779661016947,59
North Indian,3.594139496491952,3214486,637.572224515064,9692
South Indian,3.591970596550749,433657,350.0949957591179,3537
Mughlai,3.583682008368201,65423,667.1548117154812,239
Bohri,3.5833333333333335,287,300.0,6
Kerala,3.5824866310160424,121856,445.5882352941176,748
Roast Chicken,3.58,775,353.3333333333333,15
Andhra,3.578018575851393,251698,578.5036119711042,969
Lucknowi,3.576470588235294,5454,500.0,17
Kashmiri,3.569230769230769,3995,753.8461538461538,13
Gujarati,3.566666666666667,295,200.0,9
Biryani,3.535958124715521,562924,451.7523896222121,2197
Juices,3.532835820895522,12104,183.5820895522388,268
Fast Food,3.5308391234633887,148493,321.2185996793159,1871
Rolls,3.4908496732026144,10920,284.3137254901961,153
Kebab,3.425373134328358,3076,375.3731343283582,67
Hyderabadi,3.389189189189189,12382,580.4054054054054,74
Bar Food,3.0625,639,1887.5,8
Charcoal Chicken,2.7999999999999994,144,1000.0,3
